time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;0;-0.005;0.005;-0.002;-0.002;0;0.007;0.024;0.015;0.01;0.037;0.007;0.012
1;-0.002;-0.002;-0.005;0.005;-0.002;-0.002;-0.002;0.005;0.022;0.01;0.01;0.037;0.005;0.012
2;-0.005;-0.002;-0.005;0.002;-0.007;-0.005;0;0.005;0.02;0.012;0.01;0.034;0.005;0.012
3;-0.005;-0.005;-0.005;0.007;-0.005;-0.005;0;0.005;0.024;0.015;0.01;0.034;0.007;0.017
4;-0.005;-0.002;-0.007;0.002;-0.002;-0.005;-0.002;0.005;0.022;0.015;0.01;0.037;0.007;0.015
5;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;0.002;0.005;0.022;0.01;0.007;0.034;0.007;0.015
6;-0.005;-0.002;-0.007;0.002;-0.002;-0.002;-0.002;0.002;0.022;0.015;0.01;0.034;0.007;0.017
7;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.027;0.017;0.007;0.034;0.01;0.017
8;-0.002;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.037;0.005;0.012
9;-0.002;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.007;0.032;0.005;0.017
10;-0.005;-0.005;-0.005;0.007;-0.002;-0.002;0;0.002;0.022;0.012;0.01;0.037;0.01;0.017
11;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.015;0.012;0.037;0.007;0.015
12;-0.005;-0.002;-0.005;0.007;-0.007;-0.002;0;0.002;0.02;0.012;0.01;0.037;0.007;0.017
13;-0.007;-0.005;-0.007;0.005;-0.007;-0.002;-0.002;0.005;0.02;0.015;0.007;0.034;0.005;0.017
14;-0.005;-0.002;-0.005;0.002;-0.007;0;0;0.005;0.022;0.012;0.007;0.034;0.005;0.015
15;-0.005;-0.002;-0.005;0.002;-0.002;-0.005;0;0.002;0.022;0.012;0.01;0.037;0.01;0.017
16;-0.005;-0.002;-0.007;0.002;-0.005;-0.002;0;0.005;0.022;0.015;0.007;0.034;0.007;0.015
17;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.007;0.02;0.01;0.007;0.032;0.012;0.02
18;-0.005;-0.005;-0.007;0.002;-0.007;-0.002;0;0.005;0.022;0.015;0.01;0.034;0.007;0.02
19;-0.005;-0.005;-0.007;0.002;-0.002;-0.002;0;0.005;0.02;0.012;0.007;0.037;0.007;0.017
20;-0.002;-0.005;-0.007;0.002;-0.007;-0.005;0;0.005;0.02;0.015;0.01;0.034;0.01;0.017
21;-0.005;-0.005;-0.005;0.005;-0.005;-0.005;0;0.005;0.02;0.012;0.005;0.034;0.005;0.017
22;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.005;0.015
23;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.037;0.005;0.017
24;-0.005;-0.005;-0.007;0.005;-0.005;-0.002;0;0.007;0.022;0.015;0.01;0.034;0.007;0.017
25;-0.007;-0.002;-0.002;0.002;-0.005;-0.007;0;0.005;0.02;0.015;0.01;0.037;0.005;0.017
26;-0.005;0;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.005;0.015
27;-0.005;-0.002;-0.005;0.002;-0.002;-0.005;-0.002;0.007;0.029;0.022;0.015;0.042;0.007;0.015
28;-0.005;-0.005;-0.005;0;-0.005;-0.005;-0.002;0.002;0.024;0.015;0.01;0.037;0.005;0.015
29;-0.007;-0.005;-0.005;0.005;-0.005;0;0.002;0.007;0.022;0.012;0.01;0.037;0.007;0.017
30;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;0;0.007;0.02;0.017;0.01;0.034;0.007;0.015
31;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.02;0.015;0.01;0.037;0.005;0.017
32;-0.007;-0.005;-0.002;0;-0.005;-0.002;-0.002;0.005;0.024;0.012;0.01;0.037;0.005;0.012
33;-0.005;-0.002;-0.005;0.005;-0.002;-0.002;0;0.005;0.022;0.015;0.007;0.034;0.007;0.017
34;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.022;0.015;0.01;0.037;0.007;0.017
35;-0.007;-0.005;-0.007;0.005;-0.005;-0.005;-0.002;0.005;0.022;0.015;0.01;0.034;0.007;0.017
36;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.02;0.015;0.007;0.037;0.007;0.015
37;-0.005;-0.005;-0.005;0.005;-0.002;-0.005;0;0.005;0.024;0.015;0.01;0.034;0.007;0.017
38;-0.007;-0.002;-0.005;0.002;-0.005;0;0;0.005;0.022;0.017;0.01;0.034;0.007;0.015
39;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.02;0.012;0.01;0.034;0.005;0.02
40;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;-0.002;0.005;0.024;0.015;0.007;0.037;0.007;0.015
41;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.002;0.022;0.012;0.007;0.034;0.01;0.017
42;-0.002;-0.005;0;0.002;-0.002;0.002;0;0.007;0.022;0.012;0.007;0.034;0.007;0.012
43;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;0.002;0.007;0.022;0.015;0.007;0.034;0.01;0.017
44;-0.007;-0.005;-0.002;0.005;-0.005;-0.005;-0.002;0.005;0.022;0.012;0.01;0.034;0.007;0.015
45;-0.007;-0.005;-0.007;0.002;-0.002;-0.002;-0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.017
46;-0.005;0;-0.002;0.005;-0.005;0;-0.002;0.005;0.022;0.012;0.01;0.034;0.007;0.015
47;-0.005;-0.005;-0.005;0.002;-0.005;0;0;0.005;0.02;0.015;0.007;0.037;0.005;0.012
48;-0.005;-0.005;-0.002;0.005;-0.005;-0.005;0;0.005;0.022;0.015;0.01;0.034;0.005;0.017
49;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.01;0.034;0.007;0.017
50;-0.002;-0.002;-0.005;0.005;-0.007;-0.002;-0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.017
51;-0.007;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.022;0.015;0.01;0.034;0.007;0.017
52;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.007;0.027;0.015;0.01;0.034;0.007;0.015
53;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;-0.002;0.005;0.022;0.015;0.01;0.032;0.007;0.017
54;-0.005;-0.005;-0.005;0.002;-0.007;-0.005;0;0.005;0.024;0.015;0.007;0.034;0.005;0.017
55;-0.005;-0.005;0;0.005;-0.005;-0.005;-0.002;0.005;0.02;0.015;0.007;0.032;0.005;0.015
56;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;-0.002;0.002;0.024;0.012;0.01;0.032;0.005;0.017
57;-0.002;-0.005;-0.002;0.005;-0.005;-0.002;0;0.002;0.02;0.015;0.007;0.032;0.005;0.012
58;-0.002;0;-0.002;0.005;-0.005;-0.002;0;0.002;0.024;0.015;0.01;0.032;0.007;0.015
59;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;-0.002;0.005;0.022;0.015;0.01;0.034;0.005;0.015
60;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.007;0.017
61;-0.005;-0.002;-0.007;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.005;0.015
62;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.017;0.007;0.037;0.005;0.017
63;-0.005;-0.005;-0.002;0;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.007;0.015
64;-0.005;-0.002;-0.005;0.005;-0.005;0;0;0.005;0.024;0.015;0.01;0.034;0.012;0.024
65;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0.002;0.007;0.027;0.015;0.012;0.037;0.005;0.017
66;-0.002;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.015
67;-0.007;-0.005;-0.005;0.005;-0.005;0;-0.002;0.007;0.024;0.015;0.01;0.034;0.005;0.012
68;-0.005;-0.002;-0.005;0.002;-0.005;-0.005;0;0.007;0.024;0.012;0.007;0.032;0.01;0.017
69;-0.005;-0.005;-0.007;0.005;-0.005;-0.005;-0.002;0.005;0.022;0.01;0.01;0.034;0.007;0.012
70;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;-0.002;0.005;0.027;0.015;0.01;0.034;0.007;0.02
71;-0.005;-0.005;-0.002;0.005;-0.005;-0.002;-0.002;0.005;0.022;0.015;0.01;0.034;0.007;0.017
72;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;-0.002;0.005;0.024;0.015;0.007;0.032;0.005;0.015
73;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;-0.002;0.005;0.022;0.015;0.007;0.032;0.007;0.015
74;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.027;0.015;0.01;0.034;0.005;0.015
75;-0.005;-0.005;-0.007;0.005;-0.005;-0.005;0;0.005;0.024;0.017;0.012;0.034;0.005;0.015
76;-0.007;-0.002;-0.007;0.002;-0.007;-0.002;0.002;0.005;0.024;0.015;0.012;0.037;0.007;0.017
77;-0.005;-0.002;-0.007;0.002;-0.007;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.005;0.017
78;-0.002;-0.005;-0.005;0.002;-0.007;0;0;0.007;0.024;0.015;0.01;0.037;0.01;0.017
79;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.007;0.024;0.012;0.007;0.032;0.005;0.012
80;-0.002;-0.002;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.015;0.007;0.032;0.01;0.015
81;-0.005;-0.005;-0.007;0.002;-0.002;-0.002;0;0.007;0.024;0.015;0.01;0.032;0.007;0.017
82;-0.005;-0.002;-0.005;0.002;-0.002;0;0;0.005;0.024;0.017;0.01;0.034;0.007;0.015
83;-0.007;-0.005;-0.005;0.002;-0.002;-0.005;-0.002;0.005;0.024;0.015;0.012;0.034;0.007;0.015
84;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.007;0.029;0.017;0.012;0.039;0.005;0.012
85;-0.007;-0.002;-0.007;0.005;-0.005;-0.002;0;0.007;0.024;0.015;0.01;0.039;0.007;0.017
86;-0.005;-0.005;-0.002;0;-0.005;0;0.002;0.005;0.024;0.017;0.01;0.029;0.007;0.017
87;-0.005;-0.005;-0.005;0.002;-0.007;-0.002;0.002;0.005;0.024;0.012;0.01;0.034;0.005;0.015
88;-0.002;-0.005;-0.005;0.002;-0.007;-0.005;0;0.002;0.022;0.015;0.01;0.032;0.007;0.015
89;-0.005;-0.005;-0.005;0.005;-0.005;-0.005;0.002;0.002;0.024;0.01;0.01;0.034;0.007;0.017
90;-0.005;-0.002;-0.007;0.002;-0.005;0;0;0.005;0.024;0.012;0.007;0.029;0.01;0.015
91;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;0;0.005;0.024;0.015;0.01;0.032;0.007;0.015
92;-0.007;-0.002;-0.007;0.005;-0.007;-0.002;0;0.007;0.024;0.015;0.007;0.034;0.007;0.015
93;-0.007;-0.005;-0.005;0;-0.005;-0.002;0;0.005;0.02;0.01;0.012;0.034;0.01;0.015
94;-0.005;-0.002;-0.005;0.005;-0.007;0;0;0.005;0.024;0.015;0.01;0.034;0.007;0.017
95;-0.005;-0.005;-0.007;0.002;-0.005;-0.002;-0.002;0.005;0.024;0.012;0.01;0.034;0.005;0.015
96;-0.005;-0.005;-0.007;0.002;-0.007;-0.002;0;0.007;0.022;0.012;0.01;0.034;0.007;0.015
97;-0.005;-0.002;-0.007;0.005;-0.005;-0.002;0;0.007;0.027;0.012;0.007;0.034;0.007;0.015
98;-0.005;-0.005;-0.005;0.005;-0.007;-0.002;0;0.007;0.024;0.015;0.01;0.032;0.007;0.015
99;-0.007;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.005;0.012
100;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.007;0.024;0.012;0.007;0.034;0.007;0.015
101;-0.005;-0.005;-0.007;0.002;-0.007;-0.005;0;0.005;0.022;0.015;0.01;0.034;0.005;0.015
102;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;-0.002;0.007;0.027;0.017;0.012;0.039;0.01;0.015
103;-0.005;-0.002;-0.007;0.002;-0.005;-0.002;0;0.005;0.024;0.017;0.012;0.039;0.002;0.012
104;-0.002;-0.002;-0.005;0.002;-0.005;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.01;0.017
105;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.012
106;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.012;0.034;0.007;0.015
107;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.007;0.017
108;-0.005;-0.002;-0.005;0.005;-0.007;-0.002;-0.002;0.007;0.022;0.012;0.01;0.034;0.007;0.012
109;-0.005;-0.005;-0.002;0.005;-0.005;-0.002;0;0.007;0.022;0.012;0.007;0.037;0.01;0.017
110;-0.002;-0.005;-0.002;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.005;0.015
111;-0.002;0;-0.005;0.005;-0.005;-0.002;-0.002;0.005;0.024;0.017;0.007;0.034;0.007;0.017
112;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.002;0.024;0.012;0.007;0.034;0.01;0.015
113;-0.002;-0.005;-0.005;0;0;-0.002;-0.002;0.007;0.022;0.012;0.012;0.037;0.007;0.015
114;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.01;0.015
115;-0.005;0;-0.005;0.002;-0.005;-0.002;0;0.005;0.02;0.012;0.01;0.034;0.007;0.017
116;-0.002;0;-0.005;0.005;-0.007;-0.002;0;0.005;0.027;0.012;0.007;0.034;0.007;0.017
117;-0.002;-0.002;-0.005;0.005;-0.007;-0.002;0;0.005;0.022;0.012;0.01;0.037;0.01;0.015
