time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.01;-0.005;-0.005;0;-0.005;0.037;0.017;0.039;0.017;0.039
0.5;-0.005;-0.002;-0.002;0;-0.002;0.037;0.002;0.029;0.037;0.039
1;-0.005;-0.002;-0.005;0.002;-0.005;0.029;0.012;0.037;0.034;0.044
1.5;-0.007;-0.005;-0.002;0;-0.005;0.059;0.042;0.059;0.034;0
2;-0.007;-0.005;-0.005;0;-0.007;0.032;0.02;0.039;0.029;0.01
2.5;-0.007;-0.007;-0.002;0.005;-0.005;0.054;0.02;0.042;0.02;0
3;-0.007;-0.005;-0.005;0;-0.005;0.032;0.012;0.039;0.044;0.015
3.5;-0.005;-0.005;-0.002;0;-0.002;0.039;0.012;0.039;0.027;0.029
4;-0.007;-0.002;-0.007;0;-0.005;0.044;0.022;0.042;0.017;0.027
4.5;-0.005;-0.005;-0.007;0;-0.005;0.034;0.02;0.044;0.01;0.024
5;-0.007;-0.005;-0.007;0;-0.002;0.059;0.039;0.063;-0.005;-0.029
5.5;-0.007;-0.005;-0.002;0.002;-0.005;0.056;0.032;0.056;0.02;-0.007
6;-0.01;-0.002;0;0.002;-0.002;0.037;0.02;0.042;0.015;-0.012
6.5;-0.007;-0.005;-0.005;0.002;-0.002;0.042;0.015;0.034;0.042;0.032
7;-0.01;-0.005;-0.002;0;-0.005;0.049;0.024;0.046;0.024;0.002
7.5;-0.007;-0.005;-0.002;0.002;-0.002;0.039;0.039;0.059;0.027;0.005
8;-0.005;0;0;0.002;-0.007;0.044;0.024;0.046;0.02;0.002
8.5;-0.007;-0.005;-0.005;0;-0.002;0.039;0.01;0.027;0.044;0.022
9;-0.007;-0.002;-0.002;0;0;0.063;0.024;0.049;0.01;-0.022
9.5;-0.01;-0.005;0.005;0.005;-0.002;0.032;0.017;0.044;0.007;-0.012
10;-0.007;-0.002;-0.005;0.002;-0.005;0.037;0.015;0.046;0.037;0.022
10.5;-0.007;-0.005;0;0.002;-0.005;0.042;0.02;0.044;0.01;-0.012
11;-0.002;-0.005;-0.01;0.002;-0.005;0.049;0.02;0.044;0.022;-0.01
11.5;-0.005;-0.005;-0.01;0;-0.007;0.034;0.002;0.017;0.044;0.039
12;-0.005;-0.005;-0.002;0.002;-0.005;0.022;0.01;0.032;0.02;0.037
12.5;-0.007;-0.002;-0.007;0.002;-0.005;0.032;0.01;0.027;0.027;0.022
13;-0.005;-0.005;-0.005;0.002;-0.005;0.049;0.022;0.042;0.015;0.007
13.5;-0.005;-0.005;-0.005;0.002;-0.002;0.044;0.01;0.034;0.017;0.022
14;-0.01;-0.002;-0.002;0.002;-0.005;0.022;0.012;0.037;0.02;0.039
14.5;-0.005;-0.002;-0.002;0.002;-0.002;0.017;-0.012;0.017;0.032;0.049
15;-0.007;-0.005;-0.005;0.002;-0.005;0.024;0;0.034;0.005;0.029
15.5;-0.005;-0.002;0.002;0.005;-0.005;0.054;0.02;0.051;0.015;-0.005
16;-0.007;-0.005;0;0.002;-0.007;0.054;0.037;0.059;-0.01;-0.01
16.5;-0.007;-0.002;-0.002;0.005;-0.005;0.056;0.017;0.042;0.02;0.01
17;-0.007;-0.002;0;0.005;-0.005;0.044;0.032;0.059;-0.01;0.01
17.5;-0.007;0;0.002;0.005;-0.002;0.044;0.027;0.046;-0.017;0.002
18;-0.005;-0.002;-0.002;0.005;-0.007;0.071;0.071;0.09;-0.02;-0.032
18.5;-0.007;-0.002;0;0.005;-0.002;0.027;0.005;0.029;0.022;0.032
19;0.002;0;-0.007;0.002;-0.002;0.029;0.01;0.037;0.02;0.029
19.5;-0.002;-0.002;-0.01;0.002;-0.002;0.012;-0.012;0.007;0.032;0.051
20;-0.002;-0.002;-0.005;0.005;0;0.029;0.01;0.034;0.022;0.015
20.5;-0.005;-0.002;-0.01;0.002;-0.005;0.032;0.015;0.037;0.042;0.037
21;-0.005;-0.005;-0.007;0.002;-0.005;0.044;0.02;0.042;0.029;0.032
