time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.002;0;0.005;-0.005;0.037;0.012;0.029;0.012;-0.002
0.5;0;-0.005;-0.005;0.002;-0.002;0.034;0.027;0.056;0.012;-0.034
1;-0.002;0;0;0.005;-0.005;0.022;0.027;0.037;0.015;0.02
1.5;-0.002;0;0.002;0.005;-0.002;0.059;0.039;0.059;0.017;0
2;0;-0.002;-0.002;0.007;-0.002;0.051;0.034;0.059;0.024;-0.002
2.5;0;0;-0.002;0.005;-0.005;0.012;-0.002;0.017;0.051;0.034
3;0.002;0;-0.005;0.002;-0.002;0.042;0.015;0.044;0.015;0.032
3.5;-0.002;-0.002;-0.005;0.005;0;0.037;0.012;0.034;0.034;0.015
4;-0.005;-0.002;0;0.007;-0.002;0.01;0.002;0.017;-0.012;-0.046
4.5;-0.002;0.002;-0.005;0.005;-0.002;0.015;0.007;0.027;0.02;-0.015
5;-0.002;-0.002;0.005;0.002;-0.005;0.051;0.037;0.056;0.034;0.032
5.5;0;0;0;0.005;-0.002;0.076;0.037;0.054;-0.007;0.005
6;0;0;0;0.005;-0.005;0.017;0.007;0.024;0.049;0.032
6.5;-0.005;-0.002;0.002;0.002;-0.005;0.042;0.022;0.044;0.042;0.005
7;0;0;0.002;0.005;-0.002;0.01;0;0.02;0.022;0.061
7.5;0.002;0;-0.007;0.005;-0.002;0.017;0.005;0.02;-0.027;-0.017
8;0;0;-0.012;0.005;-0.002;0.034;0.017;0.034;0.024;0.005
8.5;0;0;0.002;0.005;-0.002;0.027;0.002;0.024;0.039;0.015
9;-0.002;0;-0.002;0.007;-0.002;0.034;0.032;0.056;0.007;-0.005
9.5;-0.002;-0.002;0.005;0.002;-0.005;-0.007;-0.01;0.015;-0.005;0.015
10;-0.005;0.002;0.002;0.002;-0.005;0.032;0.01;0.034;-0.012;-0.01
10.5;0;0;0;0.005;0;0.044;0.01;0.037;-0.012;-0.015
11;-0.005;-0.002;0.01;0.005;-0.002;0.044;0.015;0.042;0.015;-0.039
11.5;-0.002;-0.002;0.005;0.005;-0.005;0.017;-0.02;0.012;0.015;-0.022
12;-0.002;-0.002;0;0.007;-0.002;0.027;0.007;0.032;0.015;0.015
12.5;-0.002;0;0.005;0.005;-0.005;0.063;0.042;0.051;-0.044;-0.042
13;-0.002;-0.002;0;0.007;0;0.042;0.007;0.022;0.046;0.02
13.5;0;0;-0.005;0.005;-0.007;0.027;0.012;0.029;0.039;0
14;0;-0.002;-0.005;0.007;-0.002;0.027;0.005;0.024;0.005;-0.029
14.5;0;0;-0.005;0.005;-0.002;0.015;-0.002;0.012;0.027;0.032
15;-0.002;0;0.005;0.005;-0.002;0.039;0.029;0.049;0.02;-0.007
15.5;-0.005;-0.002;-0.005;0.002;-0.002;0.046;0.015;0.039;0.044;0.002
16;-0.002;-0.002;-0.007;0.002;-0.005;0.01;0.01;0.032;0.027;-0.002
16.5;-0.005;-0.002;-0.002;0.005;-0.005;0.032;0.024;0.042;0.042;0.042
17;-0.002;0;-0.005;0.002;-0.007;0.032;0.005;0.027;0.015;-0.012
17.5;-0.005;-0.002;0.002;0.005;-0.002;0.044;0.005;0.029;0.012;-0.002
18;-0.002;-0.005;0.002;0.002;-0.002;0.051;0.01;0.039;0.056;0.012
18.5;-0.005;-0.002;0;0.005;-0.005;0.015;-0.005;0.022;0.061;0.034
19;-0.005;-0.005;0;0.005;-0.002;0.044;0.042;0.059;0.015;0.032
19.5;0;-0.002;-0.007;0.002;-0.002;0.029;0.012;0.034;0.01;-0.015
20;0;-0.005;-0.005;0;-0.002;0.044;0.029;0.054;0.029;-0.002
20.5;-0.002;-0.002;-0.005;0.007;-0.002;0.049;0.022;0.042;0.007;0.007
21;-0.005;0;0;0.005;-0.005;0.049;0.042;0.059;0.015;0.012
21.5;0;-0.002;-0.005;0.002;-0.002;0.054;0.029;0.051;0.002;-0.022
22;-0.002;-0.005;-0.002;0.002;-0.005;0.037;0.01;0.032;0.034;0
22.5;-0.005;-0.005;0;0.002;-0.007;0.037;0.02;0.037;0.022;0.02
23;-0.002;-0.002;0;0.002;-0.005;0.044;0.032;0.044;0;0.034
23.5;-0.007;-0.002;0.007;0.002;-0.002;0.044;0.022;0.046;0.024;0.017
24;-0.002;-0.002;-0.002;0.002;-0.005;0.034;0.007;0.027;0.039;0.037
24.5;-0.002;-0.002;-0.005;0.002;0.002;0.037;0.024;0.044;0.012;0.005
25;-0.002;-0.005;-0.002;0.005;-0.002;0.044;0.02;0.042;0.017;-0.007
25.5;-0.01;-0.002;-0.002;0.002;-0.002;0.046;0.024;0.049;0.015;0.007
26;-0.007;-0.002;0.005;0.002;-0.002;0.012;0.002;0.027;0.02;-0.012
26.5;-0.005;-0.002;-0.002;0.005;0;0.056;0.027;0.046;0.01;-0.01
