time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.002;-0.002;0;0.002;-0.005;0.037;0.029;0.049;0.002;-0.046
0.5;-0.002;-0.002;-0.005;0.005;0;0.046;0.01;0.037;0;-0.049
1;-0.005;-0.002;-0.002;0.002;0;0.049;0.027;0.049;0.005;0.022
1.5;-0.005;-0.005;-0.005;0.005;-0.007;0.024;0;0.02;0.015;0.032
2;-0.005;-0.002;0;0.002;-0.005;0.034;0.017;0.039;0.051;0.095
2.5;-0.007;-0.005;0;0.007;-0.005;0.066;0.049;0.061;0.029;0.076
3;-0.007;-0.005;-0.002;0.002;-0.007;0.073;0.039;0.049;0;0.01
3.5;-0.007;-0.005;-0.005;0.002;-0.002;0.034;0.015;0.039;0.042;0.027
4;-0.007;-0.005;-0.007;0.002;-0.002;0.049;0.02;0.044;0.056;0.066
4.5;-0.007;-0.002;0;0.005;-0.005;0.056;0.029;0.056;0.059;0.083
5;-0.007;-0.002;-0.007;0.005;-0.005;0.044;0.027;0.046;0.044;0.063
5.5;-0.005;-0.007;-0.01;0.005;-0.002;0.061;0.024;0.054;-0.01;0.01
6;-0.007;-0.007;-0.002;0.002;-0.005;0.032;0.005;0.032;0.042;0.012
6.5;-0.005;-0.002;-0.01;0.002;-0.002;0.059;0.034;0.051;0.017;-0.015
7;-0.005;-0.002;-0.002;0.002;-0.002;0.042;0.01;0.032;0.007;0.015
7.5;-0.005;-0.005;-0.005;0.002;-0.005;0.046;0.007;0.034;0.005;0.007
8;-0.005;0;0;0.005;-0.005;0.044;0.015;0.039;0.02;0.012
8.5;-0.01;-0.002;0.005;0.002;-0.005;0.044;0.02;0.042;0.056;0.044
9;-0.01;-0.005;-0.005;0.002;-0.005;0.049;0.034;0.051;0.024;0.015
9.5;-0.007;-0.005;-0.002;0.002;-0.007;0.01;-0.015;0.01;0.049;0.005
10;-0.01;-0.005;-0.002;0.002;-0.002;0.051;0.027;0.039;0.012;0.02
10.5;-0.007;-0.007;-0.005;0.002;-0.005;0.032;0.01;0.037;0.017;0.015
11;-0.005;-0.005;-0.005;0.002;-0.007;0.037;0.015;0.034;0.024;0.02
11.5;-0.002;-0.002;-0.002;0.002;-0.005;0.032;0.015;0.039;0.029;0.032
