time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;0.002;-0.007;-0.007;0.007;0;0.046;0.027;0.046;0.034;0.027
0.5;0;-0.005;-0.012;0.005;-0.005;0.046;0.024;0.044;0.034;0.005
1;-0.005;-0.002;0;0.002;-0.005;0.054;0.032;0.049;0.054;0.027
1.5;-0.002;0;0.007;0.01;-0.002;0.039;0.01;0.034;-0.007;0.027
2;-0.005;0.002;0.005;0.002;0;0.044;0.012;0.032;0.015;0.032
2.5;-0.005;-0.002;-0.002;0.005;-0.002;0.039;0.027;0.046;0.027;0.051
3;-0.002;0;0;0.005;-0.002;0.032;0.007;0.034;0.015;0.039
3.5;-0.007;-0.002;-0.002;0.007;-0.002;0.039;0.02;0.034;0.027;0.027
4;-0.002;-0.002;0.012;0.005;-0.005;0.015;-0.005;0.01;-0.005;0.007
4.5;0.002;-0.002;-0.005;0.007;-0.005;0.024;0.02;0.034;0.029;0.054
5;-0.002;-0.002;-0.002;0.005;-0.005;0.02;0;0.015;-0.005;0.022
5.5;-0.002;0;0.002;0.005;0;0.056;0.049;0.051;0.044;0.051
6;-0.002;0;-0.002;0.007;-0.002;0.034;0.007;0.034;0.034;0.007
6.5;-0.005;-0.002;0;0.005;-0.005;0.027;0.01;0.024;-0.005;-0.012
7;-0.002;-0.005;-0.002;0.005;-0.005;0.051;0.046;0.059;0.039;0.002
7.5;-0.002;0;0.005;0.005;-0.002;0;0.007;0.027;0.005;0.002
8;-0.005;-0.005;0.002;0.005;-0.002;0.051;0.024;0.034;0.042;0.078
8.5;-0.002;-0.005;0.005;0.005;0;0.01;0.01;0.027;0.022;0.015
9;-0.005;-0.002;-0.002;0.005;-0.005;0.054;0.022;0.046;0.027;0.034
9.5;-0.005;-0.002;0.002;0.005;0;0.049;0.024;0.054;0.02;0.046
10;-0.007;-0.002;-0.002;0.007;-0.005;0.039;0.017;0.039;-0.012;-0.02
10.5;0;0;-0.002;0.005;-0.005;0.029;0.015;0.039;0.007;0.012
