time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;-0.005;-0.002;0.005;-0.002;0;0.002;0.002;0.024;0.01;0.007;0.032;0.01;0.017
1;-0.005;-0.002;-0.005;0.002;-0.002;0;0;0.002;0.022;0.012;0.007;0.034;0.01;0.02
2;-0.002;-0.005;-0.005;0.005;-0.002;-0.005;-0.002;0.005;0.024;0.012;0.007;0.032;0.005;0.012
3;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.032;0.005;0.012
4;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.002;0.024;0.012;0.007;0.032;0.007;0.015
5;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.02;0.01;0.007;0.032;0.012;0.02
6;-0.002;-0.002;-0.005;0.002;-0.002;0;0;0.007;0.022;0.012;0.01;0.032;0.007;0.015
7;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.01;0.007;0.032;0.007;0.017
8;-0.005;-0.005;-0.005;0.005;0;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.01;0.015
9;-0.005;-0.002;-0.005;0.005;-0.002;0;0;0.002;0.024;0.01;0.007;0.032;0.005;0.017
10;-0.002;-0.002;-0.002;0.005;-0.005;0;-0.002;0.005;0.024;0.012;0.007;0.029;0.007;0.017
11;-0.007;-0.002;-0.005;0.002;-0.002;-0.002;0;0.005;0.029;0.015;0.01;0.034;0.005;0.015
12;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.005;0.034;0.007;0.015
13;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.024;0.012;0.007;0.032;0.007;0.015
14;-0.005;-0.002;-0.002;0.005;-0.005;0;0;0.007;0.027;0.01;0.007;0.032;0.005;0.012
15;-0.005;-0.002;-0.007;0.005;-0.002;-0.002;0;0.005;0.022;0.01;0.007;0.029;0.007;0.017
16;-0.002;-0.002;-0.005;0.005;-0.002;-0.005;0;0.007;0.024;0.012;0.007;0.032;0.007;0.015
17;-0.005;-0.002;-0.005;0.002;-0.002;-0.005;0.002;0.005;0.024;0.01;0.007;0.034;0.007;0.017
18;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.024;0.012;0.01;0.032;0.007;0.015
19;-0.005;-0.005;-0.002;0.002;-0.002;-0.002;0.002;0.007;0.024;0.015;0.007;0.029;0.007;0.017
20;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.007;0.034;0.007;0.015
21;-0.005;0;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.032;0.007;0.015
22;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.027;0.012;0.007;0.032;0.005;0.015
23;-0.005;-0.005;-0.005;0.007;-0.002;0;0;0.005;0.024;0.012;0.007;0.032;0.005;0.017
24;-0.005;0;-0.005;0.007;-0.002;-0.002;0;0.005;0.024;0.01;0.005;0.032;0.007;0.022
25;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.007;0.02
26;-0.002;-0.002;-0.002;0.005;-0.002;-0.002;-0.002;0.005;0.022;0.012;0.007;0.032;0.007;0.017
27;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.007;0.024;0.01;0.007;0.029;0.007;0.015
28;-0.002;-0.005;-0.002;0.002;-0.005;-0.002;0.002;0.007;0.024;0.012;0.007;0.034;0.01;0.02
29;-0.005;-0.002;-0.005;0.005;-0.002;-0.002;0.002;0.007;0.027;0.01;0.007;0.032;0.007;0.017
30;-0.005;-0.002;-0.005;0.005;-0.007;-0.002;-0.002;0.002;0.027;0.012;0.01;0.034;0.005;0.017
31;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;0;0.005;0.029;0.012;0.01;0.037;0.007;0.015
32;-0.005;0;0;0.002;-0.005;-0.002;-0.002;0.007;0.022;0.01;0.007;0.032;0.007;0.017
33;-0.005;-0.002;-0.005;0.005;-0.002;0;0.002;0.005;0.022;0.012;0.01;0.032;0.007;0.017
34;-0.002;0;-0.002;0.002;-0.002;-0.005;0.002;0.005;0.022;0.01;0.007;0.032;0.005;0.017
35;-0.002;-0.002;-0.007;0.005;-0.002;-0.002;0;0.005;0.024;0.01;0.007;0.032;0.007;0.02
36;-0.005;0;0;0.002;-0.002;-0.002;0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.015
37;-0.002;0;-0.002;0.007;-0.005;-0.002;0.002;0.005;0.027;0.012;0.007;0.034;0.005;0.015
38;-0.005;-0.002;-0.002;0.005;-0.002;-0.005;0;0.005;0.024;0.01;0.007;0.034;0.007;0.017
39;-0.002;-0.002;-0.005;0.005;-0.002;-0.002;0;0.01;0.024;0.012;0.007;0.032;0.007;0.015
40;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.007;0.017
41;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0.002;0.005;0.022;0.01;0.007;0.032;0.007;0.015
42;-0.002;-0.005;-0.002;0.002;-0.005;-0.002;0;0.002;0.024;0.012;0.01;0.032;0.007;0.015
43;-0.005;-0.002;-0.002;0.007;-0.002;-0.002;0;0.002;0.024;0.01;0.007;0.032;0.01;0.017
44;-0.005;-0.002;-0.002;0.002;-0.002;-0.002;0.002;0.002;0.024;0.01;0.01;0.032;0.007;0.017
45;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.01;0.007;0.034;0.005;0.017
46;-0.007;-0.002;-0.007;0.002;-0.002;-0.002;0.002;0.005;0.024;0.01;0.005;0.032;0.01;0.017
47;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.024;0.01;0.007;0.034;0.005;0.012
48;-0.007;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.007;0.034;0.01;0.017
49;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;0;0.007;0.027;0.012;0.01;0.034;0.007;0.015
50;-0.007;-0.005;-0.007;0;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.032;0.007;0.017
51;-0.005;0;-0.005;0;-0.002;-0.002;0.002;0.005;0.024;0.012;0.007;0.034;0.007;0.017
52;-0.002;-0.002;-0.005;0.002;-0.005;-0.002;0;0.007;0.027;0.012;0.007;0.037;0.005;0.015
53;-0.007;-0.005;-0.005;0.002;-0.002;-0.002;-0.002;0.005;0.024;0.012;0.01;0.037;0.007;0.017
54;-0.005;-0.002;-0.002;0.005;-0.002;0;0;0.005;0.024;0.01;0.007;0.032;0.007;0.017
55;-0.005;0;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.005;0.017
56;-0.005;-0.002;-0.005;0.002;-0.002;0;0;0.005;0.024;0.01;0.01;0.034;0.005;0.017
57;-0.002;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.015;0.01;0.034;0.007;0.017
58;-0.007;-0.005;-0.005;0.005;-0.002;0;0.002;0;0.024;0.01;0.007;0.034;0.005;0.017
59;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.007;0.02
