predkosc;ITD.;kat;Cisnienie
926.3;1;1;
882.2;1;1;
612.2;314;2;2.5
605.9;350;2;2.37
630.8;14;2;3.2
860.6;1;1;33.5
844.1;1;1;18.3
880;1;1;17.2
650.6;12;2;3.9
664.2;13;2;4.7
645.5;20.5;2;4.13
1980;1;3;16.8
826.3;1.5;1;18.5
667.3;11;2;4.2
