time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.005;-0.005;0;0;0.054;0.024;0.051;-0.01;0.027
0.5;-0.005;-0.002;0.005;0.007;0;0.076;0.044;0.059;0.022;0.046
1;-0.005;-0.005;-0.005;0.002;-0.002;0.051;0.051;0.078;0.039;0.039
1.5;0;-0.005;-0.007;0;-0.002;0.078;0.059;0.083;-0.002;0.032
2;-0.005;-0.005;-0.005;0.002;-0.002;0.015;0;0.015;0.054;0.012
2.5;-0.002;-0.005;-0.002;0;-0.002;0.081;0.046;0.056;0.042;0.029
3;-0.002;-0.005;-0.01;0;-0.005;0.022;0.02;0.046;0.042;0.088
3.5;-0.002;-0.005;-0.007;0.002;-0.002;0.051;0.034;0.059;-0.012;-0.046
4;-0.002;-0.002;-0.005;0.002;-0.002;0.032;0.007;0.029;0.034;-0.005
4.5;-0.007;-0.005;-0.01;0;-0.002;0.046;0.027;0.042;0.005;0.017
5;-0.005;-0.002;-0.002;0.005;-0.002;0.015;0.007;0.022;0.01;-0.046
5.5;-0.007;-0.005;-0.002;0.002;-0.005;0.068;0.042;0.054;0.017;-0.015
6;-0.01;-0.005;-0.007;0;-0.005;0.066;0.049;0.059;0.049;0.073
6.5;-0.005;-0.005;0;0.007;-0.005;-0.022;-0.012;0.01;0.042;0.015
7;-0.007;-0.007;0;0.002;-0.005;-0.012;-0.029;0;0.002;0.024
7.5;-0.005;-0.005;-0.005;0.002;-0.002;0.017;0.005;0.029;0.015;0.032
8;-0.007;-0.005;-0.002;0.005;-0.005;0.037;0.017;0.029;0.02;0.015
8.5;-0.005;-0.005;-0.01;0;-0.002;0.02;0.01;0.032;0.032;0.005
9;-0.002;-0.005;-0.01;0.005;0;0.056;0.027;0.049;0.056;0.022
9.5;-0.002;-0.005;-0.005;0.005;-0.005;0.034;0.022;0.037;0.037;0.034
10;-0.002;-0.005;-0.005;0;-0.002;0.068;0.044;0.046;0.054;0.061
10.5;-0.005;-0.002;-0.002;0.005;-0.005;0.024;-0.007;0.015;0.012;0.046
11;-0.005;-0.005;-0.002;0.002;-0.005;0.051;0.032;0.056;0.051;0.073
11.5;-0.002;-0.002;-0.005;0.005;-0.005;0.037;0.029;0.042;0.037;0.056
12;-0.01;-0.002;-0.002;0.005;-0.002;0.046;0.034;0.054;0.024;0.039
12.5;-0.005;-0.005;-0.005;0;-0.005;0.042;0.034;0.059;0.029;0.012
13;-0.002;-0.002;-0.002;0.002;-0.005;0.037;0.017;0.024;0.024;0
13.5;-0.005;-0.002;-0.002;0.005;-0.002;0.012;-0.01;0.022;0.049;0.049
14;-0.002;-0.007;-0.005;0.002;-0.002;0.02;0;0.024;-0.007;0.015
14.5;-0.002;-0.002;-0.002;0.002;-0.002;0.032;0.005;0.022;0.007;-0.012
15;-0.002;-0.002;0;0.007;-0.005;0.032;0.032;0.037;0.02;-0.042
15.5;0;-0.002;-0.01;0.002;-0.002;-0.01;-0.017;0.015;0.039;-0.017
16;-0.005;-0.005;0;0.005;0;0.044;0.005;0.039;0.012;0.037
16.5;-0.002;-0.002;-0.007;0.005;-0.005;0.029;0.01;0.02;0.027;0.032
17;-0.002;-0.002;-0.002;0.002;-0.005;0.034;0.017;0.039;-0.015;-0.027
17.5;0;-0.002;-0.002;0;0;0.042;0.012;0.032;-0.007;0.005
18;-0.007;-0.005;0.002;0.007;-0.002;0.034;0.017;0.029;0.039;0.012
18.5;-0.005;-0.002;-0.002;0.002;-0.002;-0.037;-0.029;0;0.005;0.007
19;-0.002;-0.005;-0.012;0.002;-0.002;0.039;0.015;0.029;0.02;0.015
19.5;-0.002;-0.002;-0.005;0.005;-0.002;-0.017;-0.015;0;0.044;0.078
20;-0.007;-0.005;-0.005;0.002;-0.005;0.049;0.02;0.037;0.034;0.046
20.5;0;0;-0.007;0;-0.005;0.049;0.012;0.017;0.032;0.005
21;-0.002;0;-0.002;0.005;-0.002;0.049;0.037;0.044;0.02;0.042
21.5;-0.002;-0.005;-0.005;0;-0.005;0.046;0.022;0.032;-0.022;0.042
22;-0.002;-0.002;0;0.005;-0.002;0.042;0.022;0.042;0.032;0.022
22.5;-0.002;0;-0.002;0.005;-0.002;0.037;0.029;0.051;0.029;0.02
23;-0.005;-0.005;0;0.002;-0.002;0.037;0.002;0.024;0.034;0.044
23.5;-0.007;-0.002;-0.01;0.002;-0.002;0.034;0.029;0.054;0.076;0.061
24;-0.002;-0.002;-0.005;0.005;0;0.046;0.007;0.02;0.01;0.022
24.5;-0.002;0;-0.005;0.005;-0.007;0.029;0.022;0.046;0.029;0.073
25;-0.007;0;0;0.002;-0.002;0.056;0.027;0.042;0.002;0.037
25.5;-0.005;0;-0.005;0.002;-0.002;0.027;0.007;0.022;0;-0.029
26;-0.007;0;0;0.007;-0.002;0.054;0.027;0.042;-0.01;-0.02
26.5;-0.002;0;0.002;0.005;-0.005;0.056;0.022;0.029;-0.037;-0.005
27;0;-0.005;-0.007;0.002;-0.002;0.037;0.029;0.044;-0.042;-0.024
27.5;-0.005;-0.005;-0.002;0.005;-0.005;0.015;0.005;0.027;0.034;0.027
28;-0.002;-0.002;0;0.002;-0.002;0.027;0.02;0.034;0.015;0.032
28.5;-0.005;-0.002;0;0.005;-0.002;0;-0.01;0.017;-0.012;-0.012
29;0.002;0;0;0.007;-0.002;-0.005;-0.012;0.017;0.002;-0.007
29.5;-0.002;0;-0.002;0.002;-0.002;0.037;0.02;0.039;0.029;0.039
30;-0.005;-0.002;0.005;0.007;-0.002;0.015;0.002;0.027;0.046;0.063
30.5;-0.005;0;0;0.005;-0.005;0.029;0.007;0.032;0.034;0.02
31;-0.002;-0.002;-0.002;0.005;-0.002;0.029;0.005;0.015;0.02;-0.002
31.5;-0.002;-0.002;0;0.002;-0.002;0.059;0.039;0.046;-0.007;0.02
32;-0.002;0;-0.005;0.002;-0.005;0.071;0.054;0.068;0.029;0.032
32.5;0;-0.002;-0.005;0.005;-0.005;0.017;-0.015;0.012;-0.01;-0.032
33;-0.002;0;-0.002;0.002;0;0.017;0.002;0.037;0;0.029
33.5;-0.005;-0.002;-0.005;0.007;-0.002;0.046;0.024;0.044;0.022;0.051
34;-0.005;-0.002;-0.005;0.005;-0.002;0.068;0.042;0.054;0.027;0.024
34.5;0;-0.002;-0.01;0;-0.002;-0.012;-0.022;-0.002;0.032;-0.005
35;-0.002;0;-0.005;0.005;-0.005;0.054;0.034;0.063;0.007;0.017
35.5;-0.002;-0.002;-0.005;0.002;-0.005;0.042;0.002;0.02;0.032;0.022
36;-0.005;-0.002;0;0.01;-0.005;-0.005;-0.024;-0.002;-0.01;-0.042
36.5;0;-0.005;-0.007;0;-0.002;0.027;0.012;0.029;-0.01;-0.024
37;-0.002;0;0.002;0.002;-0.005;0.037;0.012;0.017;0.029;0.024
37.5;-0.007;0;0;0.007;0;0.02;0.017;0.039;-0.005;-0.012
38;0;-0.005;-0.012;0;-0.002;0.017;0.01;0.029;0.012;0.01
38.5;0;0;-0.005;0.005;-0.002;0.044;0.022;0.049;0.063;0.044
39;0;0;-0.005;0.007;-0.002;0.071;0.022;0.044;0.002;0.015
39.5;-0.002;0;-0.005;0.005;-0.002;0.071;0.042;0.061;0;0
40;-0.005;-0.002;0.005;0.005;-0.005;0.068;0.044;0.051;-0.012;0.02
