time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.002;0.002;0.005;-0.002;-0.029;-0.039;-0.002;0;-0.015
0.5;-0.005;-0.005;-0.005;0.002;-0.002;0.046;0.024;0.039;0.012;-0.02
1;-0.005;-0.002;-0.005;0.002;-0.005;0.049;0.029;0.051;0.012;-0.012
1.5;-0.005;-0.005;-0.002;0.002;-0.002;0.049;0.02;0.039;-0.042;-0.02
2;-0.005;-0.002;-0.007;0;-0.005;0.051;0.02;0.051;0.012;0.02
2.5;-0.01;-0.005;-0.005;0.002;-0.002;0.024;0.007;0.024;0.02;0.017
3;-0.007;0;-0.002;0.005;0;0.015;0;0.027;0.029;0.017
3.5;-0.005;-0.005;0.002;0.005;0;0.029;0;0.015;0.005;-0.044
4;-0.002;-0.005;-0.002;0.005;0;0.029;-0.005;0.022;-0.012;-0.007
4.5;-0.007;-0.002;-0.005;0;-0.002;0.024;-0.002;0.017;-0.012;-0.002
5;-0.007;-0.005;-0.007;0;-0.002;0.059;0.044;0.068;0.044;0.056
5.5;-0.002;-0.005;0;0.005;-0.002;0.051;0.032;0.046;0.017;0.042
6;-0.002;-0.005;0;0.002;-0.002;0.02;-0.017;0.015;-0.005;0.005
6.5;-0.002;-0.005;-0.005;0.002;-0.005;0.037;0.012;0.029;0.042;0.02
7;-0.007;-0.005;-0.002;0.002;-0.002;0.042;0.012;0.037;-0.005;-0.01
7.5;-0.005;-0.005;-0.005;0.005;0.002;0.066;0.039;0.059;0.012;0.034
8;-0.005;-0.002;-0.002;0.002;-0.002;0.039;0.02;0.039;0.032;0.007
8.5;-0.002;-0.002;-0.002;0.005;0;0.061;0.037;0.051;0.005;0.042
9;-0.002;-0.002;0.002;0.002;-0.007;0.037;0.015;0.032;0.034;0.005
9.5;-0.005;0;-0.002;0.005;0;0.027;0.01;0.032;0.007;0.005
10;-0.002;-0.002;0.002;0.002;-0.007;0.076;0.051;0.071;0.002;0.02
10.5;-0.007;-0.005;0;0.002;-0.002;0.063;0.027;0.056;0.046;0.007
11;-0.005;-0.002;-0.002;0.005;0;0.024;0.007;0.039;0.01;0.01
11.5;-0.005;-0.005;-0.002;0.002;-0.002;0.034;0.017;0.037;0.012;0.017
12;-0.002;-0.005;-0.007;0.005;-0.002;0.037;-0.002;0.024;0.059;0.046
12.5;-0.002;0;-0.002;0.002;-0.002;0.051;0.032;0.068;0.029;0.054
13;-0.005;-0.002;-0.005;0.005;-0.002;0.029;0.002;0.039;0;0.012
13.5;-0.005;0;0.005;0.005;-0.002;0.017;-0.002;0.015;0.039;0.039
14;-0.002;0;-0.002;0.005;0;0.051;0.027;0.051;0.049;0.088
14.5;-0.005;0.002;-0.005;0.005;0;0.073;0.029;0.063;0.027;0.076
15;-0.005;-0.002;-0.002;0.005;-0.002;0.054;0.024;0.039;0.037;0.024
15.5;-0.005;-0.002;-0.005;0.002;-0.002;0.024;0;0.042;0.02;0.015
16;-0.005;0;0;0.002;-0.002;0.032;0.012;0.049;-0.01;0.017
16.5;-0.005;-0.002;0;0.005;-0.002;0.037;0.024;0.039;-0.005;0.01
17;-0.005;-0.005;-0.002;0.002;0;0.049;0.024;0.046;0.022;0.012
17.5;-0.005;-0.005;0;0.002;-0.002;0;-0.022;0.01;0.032;0.046
18;-0.002;-0.002;-0.002;0.005;-0.002;0.005;-0.002;0.007;0.078;0.076
18.5;-0.002;0;0.002;0.005;-0.002;0.029;0.005;0.029;0.076;0.093
19;-0.002;-0.002;0;0.005;-0.002;0.042;0.007;0.034;0.037;0.039
19.5;-0.005;-0.005;-0.007;0.002;0;0.071;0.044;0.071;0.024;0.029
20;-0.007;0;-0.002;0.005;0;0.039;0.022;0.059;0.007;0.005
20.5;-0.01;0;0;0.007;-0.005;0.046;0.02;0.034;0.032;0.002
