time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.002;-0.005;-0.007;0.005;-0.002;0.029;0.012;0.024;0.017;0.022
0.5;0;0;-0.007;0.005;-0.002;0.046;0.029;0.029;0.056;0.022
1;-0.002;-0.002;-0.007;0.005;-0.002;0.017;-0.005;0.002;-0.017;0.007
1.5;-0.005;-0.005;-0.005;0;-0.005;0.027;0.005;0.027;0.061;0.051
2;-0.002;-0.007;-0.007;0.005;-0.005;0.051;0.029;0.049;-0.017;0.005
2.5;-0.005;-0.002;-0.005;0.005;0;0.037;0.01;0.042;0.02;0.042
3;-0.002;-0.005;-0.01;0.002;-0.002;0.054;0.029;0.054;0.012;0.054
3.5;-0.005;0;-0.002;0.007;-0.002;0.017;-0.032;-0.012;-0.02;-0.002
4;-0.002;-0.002;-0.007;0.005;-0.002;0.017;0.01;0.024;-0.024;0.051
4.5;-0.002;-0.002;0;0.005;-0.005;0.037;-0.002;0.032;0.024;0.029
5;-0.005;-0.005;-0.01;0.005;-0.002;0.046;0.024;0.051;0.088;0.051
5.5;-0.002;-0.005;-0.005;0.002;0;0.059;0.042;0.063;0.042;0.078
6;0;-0.002;-0.005;0.007;0;0.042;0.032;0.066;0.063;0.051
6.5;-0.005;-0.005;-0.005;0.002;-0.002;0.022;0.015;0.046;0.039;0.054
7;-0.002;-0.005;-0.012;0.002;-0.002;0.059;0.037;0.071;0.034;0.063
7.5;-0.002;-0.005;-0.007;0.005;0;0.034;0.012;0.044;-0.015;-0.049
8;-0.002;-0.002;-0.005;0.007;-0.002;0.029;0.02;0.046;-0.007;-0.007
8.5;0;-0.002;-0.007;0.007;-0.002;0.046;0.027;0.037;0.007;0.01
9;-0.002;-0.005;-0.007;0;-0.005;0.039;0.017;0.042;0;0.007
9.5;0;0;-0.007;0.005;0;0.044;0.029;0.022;0.027;-0.002
10;-0.005;-0.002;-0.005;0.005;-0.002;0.068;0.059;0.078;0.066;0.046
10.5;0;-0.002;-0.005;0.007;0;0.046;0;0.037;-0.012;0
11;-0.002;0;-0.005;0.005;0.002;0.042;0.024;0.044;-0.01;-0.017
11.5;0;0;0;0.007;-0.005;0.049;0.027;0.054;0.015;-0.002
