time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;0;0.002;0;0.007;-0.002;0.042;0.032;0.049;0.032;0.039
0.5;-0.002;-0.002;0.002;0.002;-0.002;0.024;0;0.027;0.037;0.012
1;-0.002;-0.002;-0.002;0.005;0;0.051;0.034;0.054;0.039;-0.017
1.5;0;0;-0.002;0.002;-0.005;0.037;0.015;0.042;0.017;-0.027
2;-0.002;-0.002;-0.002;0.005;-0.002;0.01;-0.005;0.022;0.007;-0.007
2.5;0;-0.002;0.002;0.005;-0.005;0.037;0.002;0.017;0.032;0.029
3;0;0;0;0.005;-0.005;0.024;0.024;0.046;0.015;0.042
3.5;0;-0.005;-0.005;0.005;-0.002;0.037;0.027;0.037;0.029;0.034
4;0;-0.002;-0.002;0.005;-0.007;0.049;0.034;0.051;0.027;-0.02
4.5;0;-0.005;-0.007;0.005;0;0.068;0.049;0.066;-0.032;-0.034
5;-0.002;0;0;0.005;-0.005;0.051;0.029;0.042;0.017;0.015
5.5;-0.002;-0.005;0;0.002;-0.002;0.056;0.034;0.059;0.01;-0.007
6;-0.002;-0.002;-0.002;0.007;-0.002;0.027;0.017;0.044;0.015;0.024
6.5;0;-0.002;-0.002;0.002;-0.005;0.056;0.034;0.056;-0.02;-0.034
7;-0.002;-0.005;-0.007;0.002;-0.002;0.039;0.022;0.046;0.024;0.012
7.5;-0.002;-0.002;-0.005;0.005;-0.002;0.049;0.024;0.046;0.002;0.017
8;-0.005;-0.002;-0.005;0.002;-0.002;0.046;0.007;0.039;0.022;0.012
8.5;0.002;-0.002;-0.005;0.002;-0.005;0;-0.01;0.015;0.027;0.015
9;0;-0.002;-0.002;0.005;-0.002;0.054;0.012;0.034;0.027;-0.012
9.5;-0.002;-0.002;-0.01;0.005;-0.002;0.024;-0.007;0.015;0.056;0.061
10;0;-0.002;-0.005;0.002;-0.002;0.002;0;0.024;0.007;0.024
10.5;-0.005;-0.002;-0.005;0.005;-0.002;0.039;0.007;0.027;0.029;-0.007
11;-0.002;0;-0.002;0.002;-0.005;0.037;-0.005;0.027;0.017;0.044
11.5;-0.002;-0.002;0.002;0.002;-0.005;0.073;0.056;0.076;-0.022;0.027
12;-0.005;-0.002;0;0.007;-0.005;0.039;0.002;0.02;0.032;0.02
12.5;0;-0.002;-0.002;0;-0.002;0.027;0;0.029;0.029;0.032
13;-0.002;-0.002;-0.005;0.005;-0.002;0.032;0.005;0.029;0.029;0
13.5;-0.005;-0.007;0;0.002;-0.005;0.017;0.007;0.022;0.007;-0.029
14;-0.005;-0.005;-0.002;0.005;-0.005;0.022;-0.002;0.017;0.034;0.032
14.5;-0.002;-0.007;-0.005;0.002;-0.005;0.02;0.002;0.017;0.032;0.024
15;-0.002;-0.002;-0.005;0.002;-0.002;0.027;0.017;0.042;0.005;-0.002
15.5;0;0;-0.005;0.005;-0.005;0.049;0.032;0.054;0.02;0.034
16;-0.005;-0.005;0;0.002;-0.005;0.027;0.01;0.029;0.012;0.039
16.5;-0.002;-0.005;-0.002;0.002;-0.005;0.071;0.061;0.081;-0.029;-0.034
17;0;-0.002;-0.007;0.002;-0.007;0.024;0.012;0.024;0.02;-0.029
17.5;0.002;-0.002;-0.005;0.005;-0.007;-0.017;-0.032;-0.005;0.027;-0.029
18;-0.002;-0.002;-0.002;0.005;-0.005;0.01;0.005;0.024;0.061;0.042
18.5;-0.005;-0.007;-0.005;0.002;-0.005;0.049;0.012;0.022;0.012;0.012
19;-0.002;0;-0.002;0;-0.005;0.051;0.037;0.049;0.002;0.015
19.5;0;-0.005;-0.007;0.002;-0.005;0.042;0.007;0.029;0.017;0.022
20;-0.002;0;0;0.002;-0.002;0.039;0.007;0.034;0.022;0.02
20.5;-0.002;-0.002;0;0.002;-0.002;0.034;0.02;0.044;0.017;0.015
21;-0.002;-0.005;-0.01;0.002;-0.005;0.032;0.007;0.029;0.042;0.034
21.5;-0.005;-0.002;-0.002;0.002;-0.005;0.039;0.032;0.054;0.012;0.046
22;-0.005;-0.002;-0.007;0.002;-0.002;0.051;0.037;0.056;0.005;-0.029
22.5;-0.002;-0.005;0.002;0;-0.002;0.042;0.022;0.042;0.005;0.024
23;-0.007;-0.005;-0.01;0;-0.002;0.032;0.02;0.024;0.042;0.051
23.5;-0.005;-0.005;0;0.002;-0.002;0.056;0.029;0.046;-0.007;-0.015
24;-0.005;-0.007;-0.005;0.002;-0.002;0.051;0.024;0.046;0.02;-0.027
24.5;-0.005;-0.002;-0.005;0.005;-0.005;0.076;0.049;0.061;0;-0.054
25;0;-0.007;-0.002;0.002;-0.005;0.037;0.017;0.042;0.005;-0.01
25.5;-0.002;-0.002;-0.002;0.002;-0.002;0.024;-0.002;0.017;0.044;0.02
26;-0.007;-0.005;-0.002;0.002;-0.005;0.032;0.012;0.029;0.022;0.007
26.5;-0.005;-0.005;-0.01;0.002;-0.002;0.032;-0.002;0.017;0.037;0.044
27;0;-0.005;-0.005;0.005;-0.002;0.027;0.005;0.029;0.034;0.015
27.5;-0.002;-0.005;-0.007;0.002;-0.005;0.002;-0.02;0.002;0.024;-0.017
28;-0.005;-0.007;-0.002;0;-0.005;0.032;0.017;0.024;0.068;0.071
28.5;-0.005;-0.005;-0.005;0.002;-0.007;0.012;-0.012;0.012;0.022;0.007
29;-0.005;-0.002;-0.002;0.002;-0.002;0;-0.024;0;0.066;0.081
29.5;-0.002;-0.002;-0.005;0;-0.005;0.039;0.024;0.039;0.017;0.034
30;-0.005;-0.005;-0.005;0.002;-0.005;0.054;0.027;0.049;0.037;0.029
30.5;-0.007;-0.005;-0.007;0;-0.005;0.061;0.032;0.046;0.032;0.002
31;-0.005;-0.005;-0.002;0.002;-0.005;0.068;0.037;0.063;0.046;0.049
31.5;0;-0.002;-0.002;0.005;-0.005;0.032;0.012;0.032;0.046;0.029
32;0.002;-0.002;-0.005;0.005;-0.005;0.029;0.017;0.039;0.032;0.032
32.5;-0.002;-0.005;-0.005;0.002;-0.007;0.037;0.007;0.02;0.029;0.059
33;0;-0.002;-0.005;0.002;-0.005;0.012;-0.015;0.005;0.017;-0.01
33.5;-0.005;-0.002;-0.005;0;-0.005;0.054;0.044;0.066;0.02;0.029
34;-0.005;-0.005;-0.005;0.002;-0.005;0.007;-0.017;0.017;0.005;-0.007
34.5;-0.005;-0.007;-0.002;0.002;-0.002;0.02;0.002;0.027;0.039;0.01
35;-0.002;-0.005;-0.007;0.002;-0.007;0.061;0.039;0.059;-0.005;-0.024
35.5;-0.005;-0.005;0;0.002;-0.005;0.022;0.01;0.027;0;0.017
36;-0.002;-0.002;-0.007;0.005;-0.005;0;-0.002;0.024;0.017;0.01
36.5;-0.002;-0.005;-0.002;0.002;-0.005;0.061;0.039;0.061;-0.007;-0.01
37;-0.005;-0.002;-0.002;0.002;-0.005;0.056;0.051;0.061;0.012;0.034
37.5;0;-0.002;-0.005;0.002;-0.005;0.02;-0.007;0.007;0.024;0.032
38;0;-0.005;0;0.002;-0.005;0.054;0.027;0.034;-0.002;-0.002
38.5;-0.002;-0.005;-0.007;0.002;-0.005;0.017;0.007;0.029;0.007;0.029
39;-0.005;-0.005;-0.002;0.002;-0.007;0.054;0.029;0.051;-0.005;-0.029
39.5;-0.005;-0.002;-0.005;0.002;-0.007;0.034;0.027;0.044;-0.029;-0.022
40;-0.002;-0.002;-0.007;0.005;-0.005;0.027;0.002;0.029;0.002;0.002
40.5;-0.005;-0.002;-0.002;0;-0.007;0.051;0.029;0.039;0.007;0.005
41;-0.002;-0.005;0;0.005;-0.005;0.007;-0.02;-0.002;0.039;0.054
41.5;-0.002;-0.002;-0.005;0;-0.005;0.046;0.027;0.054;0.049;0.042
42;0;-0.002;-0.005;0.005;-0.002;0.032;0;0.02;0.037;0.024
42.5;-0.002;-0.002;0;0.005;-0.005;0.066;0.039;0.061;0.046;0.061
43;-0.002;-0.005;-0.002;0;-0.002;0.01;0.005;0.02;0.039;-0.039
43.5;-0.002;-0.005;-0.005;0.002;-0.002;0.042;0.005;0.034;0.066;0.015
44;-0.005;-0.005;-0.002;0.002;-0.005;0.063;0.042;0.066;0.012;0.02
44.5;-0.005;-0.005;-0.005;0.002;-0.002;0.056;0.027;0.051;-0.039;-0.024
45;-0.005;-0.005;0;0.002;-0.002;0.051;0.01;0.039;0.012;-0.01
45.5;0;-0.002;-0.005;0.005;-0.005;0.032;0.029;0.054;-0.034;-0.034
46;0;-0.002;-0.005;0.005;-0.005;0.042;0.02;0.044;0;-0.002
46.5;-0.005;-0.007;0;0.002;-0.005;0.051;0.037;0.066;-0.017;-0.032
47;-0.002;-0.002;-0.002;0.002;-0.005;0.049;0.029;0.051;0.01;-0.005
47.5;0;0;-0.01;0.005;-0.005;0.046;0.027;0.042;0.024;0.044
48;-0.002;0;-0.002;0.005;-0.005;0.039;0.002;0.012;0.002;0.007
48.5;0;-0.002;-0.005;0.002;-0.002;-0.02;-0.024;-0.012;0.037;0.024
49;-0.005;-0.002;0;0.002;-0.005;0.024;-0.005;0.012;0.027;0.01
49.5;-0.002;-0.002;0;0.005;-0.002;0.01;-0.007;0.007;0.039;0.046
50;0;0;-0.005;0.002;-0.002;0.034;0.007;0.02;0.017;0.044
50.5;-0.002;-0.005;-0.002;0.005;-0.002;0.012;-0.002;0.01;0.054;0.015
51;-0.005;-0.002;-0.005;0.002;-0.002;0.051;0.024;0.042;-0.002;-0.039
51.5;-0.002;-0.002;-0.005;0.005;-0.005;0.063;0.046;0.059;0;-0.012
52;0;-0.002;-0.002;0.002;-0.002;0.051;0.027;0.042;-0.027;0.022
52.5;-0.002;-0.005;-0.005;0;-0.005;0.029;0.02;0.029;-0.012;0.002
53;-0.005;-0.002;-0.005;0;-0.005;0.034;0.01;0.029;0.054;0.029
53.5;-0.002;-0.002;-0.005;0.002;-0.002;0.059;0.034;0.044;-0.012;0.01
54;-0.002;-0.005;-0.007;0;-0.005;0.037;0.029;0.046;0.029;0.027
54.5;0;-0.002;-0.005;0.005;-0.002;0.012;0.005;0.034;0.051;0.02
55;0;-0.002;0;0.005;-0.005;0.027;0.007;0.02;0.034;0.012
55.5;-0.005;-0.002;-0.005;0.005;-0.005;0;-0.012;0.007;0.017;-0.017
56;-0.002;0;0;0.005;-0.002;0.027;0.002;0.01;0.049;0.029
56.5;-0.002;-0.005;0.002;0.005;0;0.027;0.01;0.02;0.032;0.039
57;0;0;-0.002;0;-0.002;0.022;0.017;0.032;0.007;-0.049
57.5;-0.005;-0.002;-0.005;0.005;-0.005;0.039;0.037;0.051;0.049;-0.002
58;-0.005;-0.002;-0.005;0.005;-0.005;0.051;0.024;0.046;-0.022;0.02
58.5;-0.005;-0.002;-0.002;0.002;-0.002;0.005;-0.01;0.02;0.032;0.085
59;-0.005;-0.002;0;0.005;-0.007;0.017;0.012;0.027;0.029;0.012
59.5;-0.007;-0.002;0.005;0.005;-0.005;0.037;0.01;0.024;0.032;0.027
60;-0.002;-0.005;-0.002;0.002;-0.005;0.046;0.005;0.027;-0.007;0.02
60.5;-0.005;-0.002;-0.002;0.002;-0.002;0.037;0.027;0.042;0.01;-0.012
61;0;0;0;0.005;-0.005;0.02;-0.005;0.012;0.017;0.015
61.5;-0.002;-0.002;-0.002;0.007;-0.002;0.029;0.024;0.039;0.032;0.002
62;0.002;0;-0.002;0.002;-0.005;0.029;0.02;0.029;0.012;-0.01
62.5;-0.002;-0.002;-0.005;0.005;-0.005;0.061;0.037;0.061;0.056;0.027
63;-0.002;-0.002;-0.002;0.005;-0.005;0.034;0.007;0.032;0.034;0.044
63.5;-0.002;-0.002;0;0.005;-0.002;0.042;0.01;0.032;0.042;0.02
64;-0.005;-0.002;0;0.002;-0.002;0.039;0.022;0.042;0.015;-0.002
64.5;-0.005;-0.002;-0.002;0.002;-0.002;0.054;0.039;0.054;-0.027;0.012
65;-0.002;-0.002;-0.002;0.002;-0.002;0.063;0.042;0.068;0.042;0.02
65.5;-0.002;-0.002;-0.002;0.002;-0.005;0.049;0.017;0.039;-0.01;-0.02
66;-0.005;-0.005;-0.002;0.002;-0.002;0.027;0.007;0.029;0.024;0.022
66.5;0;-0.002;0;0.005;-0.005;0.027;0.007;0.034;0.037;0.029
67;-0.005;-0.005;-0.005;0.002;-0.005;0.024;0.002;0.024;-0.002;-0.01
67.5;0;-0.005;-0.007;0.002;-0.005;0.044;0.015;0.037;0.022;0.024
68;-0.002;-0.002;0;0.005;-0.005;0.032;0.024;0.042;-0.02;0.012
68.5;-0.002;-0.005;-0.002;0.002;-0.002;0.049;0.012;0.032;0.049;0.071
69;-0.002;-0.005;-0.002;0.005;-0.002;0.061;0.039;0.063;0.049;0.068
69.5;0;-0.002;-0.002;0.002;-0.005;0;-0.012;0.007;0.024;0.024
70;-0.005;-0.002;-0.002;0.002;-0.007;0.02;-0.002;0.012;0.066;0.027
70.5;-0.002;-0.002;-0.005;0;-0.005;0.032;0.012;0.039;0.024;0.032
71;0;-0.005;-0.005;0.002;-0.002;0.037;0.002;0.029;0.007;0.024
71.5;0;-0.005;-0.005;0.005;-0.005;0.012;-0.002;0.015;0.012;-0.012
72;-0.005;-0.005;0.002;0.002;-0.005;0.029;0.012;0.029;0.032;0.005
72.5;-0.002;-0.002;0;0.005;-0.005;0.078;0.046;0.071;0.02;0.005
73;0;-0.002;-0.007;0;0;0.066;0.029;0.044;0.002;0.005
73.5;0;-0.005;-0.005;0.002;-0.002;0.024;-0.01;0.017;0.032;0.034
74;-0.002;-0.002;-0.005;0.002;-0.005;0.037;0.01;0.029;0.037;0.02
74.5;-0.002;-0.005;0;0.002;-0.002;0.012;-0.007;0.017;0;0.039
75;-0.002;-0.002;0.002;0.002;-0.005;0.051;0.034;0.061;-0.024;-0.015
75.5;0;-0.002;0;0.005;-0.002;0.083;0.051;0.078;0.002;-0.027
76;0;-0.002;-0.002;0.002;-0.002;0.039;0.024;0.051;0.01;0
76.5;-0.002;-0.005;-0.007;0.005;-0.002;0.005;0.012;0.037;0.027;-0.029
77;-0.005;-0.005;-0.005;0.002;-0.002;0.046;0.024;0.049;0.002;0.029
77.5;-0.005;-0.005;-0.005;0.002;-0.005;0.034;0.007;0.032;0.027;0.042
78;-0.005;-0.005;-0.005;0.002;-0.002;0.022;0.02;0.049;0.002;0.005
78.5;-0.007;-0.005;-0.005;0;-0.005;0.037;0.007;0.039;-0.002;-0.007
79;-0.002;-0.005;0;0.002;-0.005;0.027;0.02;0.034;-0.005;0.022
79.5;-0.002;-0.005;-0.002;0.005;-0.007;0.042;0.015;0.029;0.027;-0.002
80;-0.002;-0.002;-0.005;0.005;-0.005;0.039;0.022;0.037;0.059;0.002
80.5;-0.002;-0.002;-0.002;0.002;-0.005;0.063;0.046;0.068;0;-0.022
81;-0.002;-0.002;-0.005;0.005;-0.002;0.002;-0.01;0.015;0.027;0.022
81.5;0;-0.002;-0.005;0.002;-0.007;0.034;-0.005;0.012;0.051;-0.005
82;-0.002;-0.002;-0.005;0.002;-0.002;0.056;0.039;0.044;0.027;0.012
82.5;-0.005;-0.007;-0.01;0.005;-0.002;0.054;0.02;0.044;-0.002;-0.022
83;-0.002;-0.005;-0.002;0.002;-0.005;0.054;0.034;0.044;0.027;0.02
83.5;-0.002;-0.005;0;0.002;-0.005;0.012;-0.007;0.01;0.029;0.024
84;-0.002;-0.002;-0.007;0.002;0;0.049;0.024;0.044;0.017;-0.017
84.5;-0.005;-0.005;-0.007;0.002;-0.005;0.032;0.022;0.046;-0.015;0.01
85;0;-0.002;-0.007;0.005;-0.005;0.032;0.015;0.042;0.029;0.01
85.5;-0.005;-0.007;-0.007;0.002;-0.002;0.034;0.015;0.039;0.015;-0.007
86;0;-0.005;0;0.005;0;0.073;0.049;0.066;-0.002;-0.007
86.5;-0.007;-0.005;0.002;0.002;-0.002;0.049;0.034;0.071;-0.051;-0.024
87;0;-0.002;-0.007;0.002;-0.005;0.049;0.027;0.054;0.02;0.042
87.5;-0.005;-0.005;0.002;0;-0.005;0.012;-0.007;0.012;0.02;-0.032
88;-0.002;-0.005;-0.002;0.002;-0.002;0.066;0.039;0.059;0.007;0.022
88.5;-0.002;-0.005;-0.007;0;0;0.044;0.029;0.049;0.044;0.044
89;-0.005;-0.005;-0.002;0.005;-0.005;0.039;0.027;0.044;0.061;0.071
89.5;-0.005;-0.002;-0.007;0.005;-0.005;0.056;0.034;0.056;0.027;0.027
90;-0.005;0;-0.002;0.002;-0.005;0.034;0.01;0.032;0.02;0.056
90.5;-0.002;-0.002;-0.005;0.002;-0.005;0.037;0.024;0.044;0.022;0.015
91;-0.005;-0.007;-0.005;0;-0.005;0.007;-0.017;0.01;0.02;0.01
91.5;-0.002;-0.005;-0.01;0;-0.002;0.037;0.01;0.029;0.007;0.032
92;-0.005;-0.005;-0.002;0;-0.002;0.024;0.012;0.037;-0.015;-0.007
92.5;-0.002;-0.002;-0.01;0.002;-0.007;0.039;0.017;0.037;0.061;0.015
93;-0.002;-0.005;-0.005;0.002;-0.002;0.037;0.017;0.039;0.046;0.032
93.5;-0.005;-0.005;-0.005;0;-0.005;-0.007;-0.02;0;0.029;0.012
94;-0.005;-0.002;-0.005;0.002;-0.005;0.024;0.002;0.017;0.056;0.029
94.5;-0.002;-0.005;-0.005;0.005;-0.002;0.039;0.015;0.034;0.007;0.046
95;0;-0.005;-0.005;0;-0.007;0.012;-0.012;0.017;0.042;0.022
95.5;-0.002;-0.005;-0.002;0.005;-0.002;0.015;-0.002;0.024;0.063;0.076
96;0;-0.005;-0.005;0.002;-0.005;0.042;0.02;0.037;0.044;0.059
96.5;-0.005;-0.005;-0.005;0;-0.005;0.073;0.039;0.051;0.005;0.022
97;-0.002;-0.002;-0.007;0;-0.005;0.037;0.005;0.029;0.044;0.027
97.5;-0.005;-0.005;-0.002;0.002;-0.005;0.032;0.029;0.049;0.015;0.015
98;-0.005;-0.005;-0.007;0.005;-0.002;0.027;0.017;0.046;0.063;0.054
98.5;-0.005;-0.002;-0.005;0.002;-0.005;0.042;0.027;0.056;-0.005;0.032
99;-0.002;-0.005;-0.007;0.005;-0.002;0.015;0;0.029;0;0.015
99.5;-0.005;-0.005;-0.005;0;-0.005;0.037;0.015;0.042;0.032;0.027
100;-0.005;-0.005;-0.002;0.005;-0.002;0.063;0.034;0.056;0.002;0.032
100.5;-0.005;-0.005;-0.005;0.005;-0.002;0.037;0.01;0.032;0.015;0.022
101;-0.005;-0.005;-0.002;0.005;-0.005;0.039;0.015;0.037;0.032;0.027
101.5;-0.002;-0.002;-0.005;0.002;-0.007;0.029;0.01;0.02;0.027;0.005
102;-0.005;-0.005;-0.002;0.002;-0.005;0.029;0.01;0.032;0.034;0.015
102.5;-0.002;-0.005;-0.002;0.005;-0.005;0.022;0.017;0.037;-0.012;-0.027
103;-0.002;-0.007;0;0.002;-0.002;0.029;0.007;0.034;0.039;0.034
103.5;-0.002;-0.002;-0.01;0.002;-0.005;0.042;0.029;0.044;0.007;0.044
104;-0.007;-0.005;-0.002;0.005;-0.005;0.061;0.037;0.059;-0.015;-0.029
104.5;-0.005;-0.005;-0.002;0.005;-0.005;0.054;0.037;0.046;-0.002;0
105;-0.002;-0.002;-0.005;0.005;-0.005;0.032;0.02;0.032;0.029;0.032
105.5;-0.005;-0.005;0;0.002;-0.005;0.037;0.022;0.032;0.044;0.061
106;0;-0.005;-0.002;0.002;-0.005;0.046;0.029;0.051;0.042;0.061
106.5;-0.002;-0.002;-0.005;0.005;-0.005;0.037;0.029;0.049;0.034;0.054
107;-0.002;-0.005;-0.005;0;-0.005;0.032;0.02;0.037;0.039;0.061
107.5;-0.005;-0.002;-0.01;0.002;-0.005;0.049;0.029;0.044;0.024;0.034
108;-0.005;-0.005;-0.002;0.002;-0.002;0.024;0.015;0.037;0.044;0.039
108.5;-0.002;-0.005;-0.007;0.005;-0.002;0.056;0.039;0.046;0.015;0.034
109;-0.005;-0.005;-0.005;0.002;-0.005;0.037;0.015;0.029;0.015;0.037
109.5;-0.002;-0.005;-0.002;0.002;-0.005;0.002;-0.015;0.007;0.046;0.012
110;-0.002;-0.002;-0.005;0.002;-0.007;0.015;-0.01;0.017;0.063;0.042
