time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.007;-0.007;-0.01;0.002;-0.005;0.029;-0.005;0.012;0.063;0.088
0.5;-0.005;-0.002;-0.007;0.002;-0.002;0.042;0.017;0.024;0.039;0.083
1;-0.007;-0.007;-0.01;0;-0.002;0.037;-0.007;0.012;0.034;0.042
1.5;-0.005;-0.007;-0.007;0;0;0.056;0.027;0.034;0.022;0.027
2;-0.002;-0.002;-0.005;0.005;-0.01;0.061;0.015;0.046;0.029;0.044
2.5;-0.01;-0.005;-0.002;0.002;-0.002;0.012;-0.005;0.022;0.002;0.027
3;-0.005;-0.005;-0.007;0;-0.002;0.044;0.037;0.056;0.027;0.027
3.5;-0.005;-0.005;-0.005;0.002;-0.002;0.066;0.034;0.061;0.01;0.051
4;-0.005;-0.005;-0.01;0.002;-0.002;0.071;0.024;0.051;0.012;0.059
4.5;-0.005;-0.005;0;0;-0.002;0.039;-0.002;0.029;0.017;0.037
5;-0.007;-0.005;-0.005;0.002;-0.005;0.054;0.024;0.049;0.007;0.002
5.5;-0.007;-0.005;-0.005;0;-0.005;0.027;0.007;0.046;0.051;0.081
6;-0.007;-0.005;-0.005;0;-0.002;0.044;0.024;0.054;0.017;0.029
6.5;-0.002;-0.002;-0.002;0;-0.005;0.037;0;0.027;0.022;0.005
7;-0.007;-0.002;-0.005;0.005;-0.002;0.044;0.012;0.039;0.024;0.032
7.5;-0.007;-0.005;0.005;0.002;-0.002;0.039;0.015;0.032;-0.015;0.034
8;-0.007;-0.005;-0.002;0.002;-0.002;0.034;0.005;0.049;0.017;0.02
8.5;-0.007;-0.005;0;0.002;-0.002;0.068;0.059;0.088;0.032;0
9;-0.002;-0.005;-0.01;0.002;-0.007;0.046;0.015;0.044;0.024;0.051
9.5;-0.007;-0.005;-0.002;0;-0.002;0.032;0.007;0.032;0.01;0.02
10;-0.007;-0.005;-0.007;0.002;-0.002;0.017;0.01;0.034;0.027;-0.002
10.5;-0.005;-0.005;-0.002;0.002;-0.002;0.076;0.037;0.056;0.042;0.017
11;-0.005;-0.005;0;0.002;-0.005;0.007;-0.007;0.015;0.002;0.017
11.5;-0.007;-0.002;-0.005;0.002;-0.005;0.056;0.027;0.051;0.061;0.078
12;-0.002;-0.005;-0.002;0.002;-0.002;0.046;0.017;0.034;0.042;0.024
12.5;-0.01;-0.005;-0.005;0.002;-0.002;0.037;0.01;0.024;0.022;0.017
13;-0.005;-0.005;-0.007;0.002;-0.005;0.02;0.007;0.034;0.01;0.015
13.5;-0.002;-0.005;-0.005;0.005;-0.005;0.054;0.046;0.066;0.024;-0.005
14;-0.007;-0.005;-0.002;0.002;-0.005;0.039;0.01;0.029;0.022;0.015
14.5;-0.005;-0.002;-0.005;0.005;-0.002;0.029;-0.017;0.007;-0.015;0.005
15;-0.007;-0.005;0;0.002;-0.002;0.024;-0.005;0.022;0.01;0.022
15.5;-0.007;-0.002;0;0.005;-0.002;0.037;0.002;0.029;-0.005;0.005
16;-0.005;-0.002;-0.005;0.005;-0.002;0.032;0.007;0.027;0.024;0.022
16.5;-0.007;-0.005;-0.005;0.002;-0.002;0.039;0.032;0.042;0.039;0.039
17;-0.01;-0.005;0;0.002;-0.005;0.042;0.015;0.042;-0.015;0
17.5;-0.007;-0.005;-0.005;0.002;-0.002;0.034;-0.007;0.01;0.027;0.044
18;-0.005;-0.005;-0.005;0.002;-0.002;0.032;0.007;0.017;0.029;0.044
18.5;-0.005;-0.005;-0.007;0;-0.002;0.005;-0.002;0.024;-0.01;-0.029
19;-0.01;-0.005;0;0.002;-0.005;0.029;-0.01;0.029;-0.002;0.017
19.5;-0.005;-0.005;-0.007;0.005;-0.005;0.032;0.024;0.049;0.024;0.032
20;-0.002;-0.002;-0.002;0.005;-0.005;0.024;-0.005;0.015;0.032;0.037
20.5;-0.005;-0.005;-0.005;0.002;-0.005;0.032;0.002;0.027;0.005;0.039
21;-0.005;-0.005;-0.005;0;0;0.015;0.005;0.029;-0.005;-0.02
21.5;-0.01;-0.002;0;0.002;-0.002;0.037;0.01;0.042;0.046;0.051
22;-0.002;-0.005;-0.007;0.005;-0.005;0.046;0.024;0.042;0.002;0.032
22.5;-0.005;-0.007;-0.007;0.002;-0.002;0.015;0;0.017;-0.002;0.029
23;-0.01;-0.007;-0.005;0;-0.002;0.034;0.007;0.027;0.012;0.005
23.5;-0.01;-0.007;-0.01;0;-0.005;0.024;0.002;0.02;-0.007;-0.017
24;-0.005;-0.005;-0.007;0;-0.005;0.046;0.01;0.02;0.005;-0.007
24.5;-0.007;-0.005;-0.005;0.002;-0.002;0.054;0.034;0.056;0.022;-0.007
25;-0.005;-0.002;-0.002;0.002;-0.005;0.049;0.012;0.032;0.027;0.01
25.5;-0.002;-0.005;-0.005;0.005;-0.005;0.002;-0.017;0.002;0.02;0.044
26;-0.005;-0.005;-0.007;0;-0.005;0.032;0.005;0.032;-0.024;0.022
26.5;-0.005;-0.002;-0.005;0;-0.002;0.017;-0.002;0.024;-0.02;-0.002
27;-0.007;-0.005;-0.005;0.002;-0.005;0.01;-0.01;0.02;0.01;-0.005
27.5;-0.007;-0.005;-0.01;0.002;-0.005;0.022;-0.007;0.015;0.037;0.039
28;-0.01;-0.005;-0.007;0;-0.002;0.032;0.015;0.037;0.015;0
28.5;-0.002;-0.002;-0.01;0.002;0;0.029;0;0.012;0.017;-0.01
29;-0.007;-0.002;-0.005;0;-0.007;0.032;0.005;0.027;-0.024;0.01
29.5;-0.007;-0.005;-0.002;0.002;-0.005;0.037;0.005;0.027;-0.037;-0.017
30;-0.007;-0.005;-0.005;0.002;-0.002;0.046;0;0.034;-0.005;-0.005
