time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.002;-0.002;0.002;-0.005;0.044;0.024;0.046;0.01;-0.002
0.5;-0.005;-0.007;0;0.002;-0.007;0.032;0.017;0.037;-0.02;-0.012
1;-0.005;-0.002;-0.002;0.005;-0.007;0.017;0;0.017;0.032;0.027
1.5;-0.002;-0.002;-0.007;0.002;-0.002;0.049;0.022;0.037;0.015;-0.02
2;-0.005;-0.007;-0.007;0.002;-0.005;0.049;0.017;0.022;0.024;0.005
2.5;-0.007;0;0.002;0.002;-0.007;0.032;-0.005;0.017;0.02;-0.015
3;-0.007;-0.005;-0.002;0.002;-0.005;0.054;0.017;0.032;0.007;-0.027
3.5;-0.005;-0.002;-0.005;0.005;-0.005;0.037;0.015;0.037;0.039;-0.007
4;-0.007;-0.002;-0.007;0.002;-0.005;0.02;-0.01;0.02;0.015;0.012
4.5;-0.005;-0.002;-0.007;0.005;-0.005;0.044;0.015;0.042;-0.02;-0.029
5;-0.005;-0.002;-0.01;0;-0.002;0.017;-0.005;0.022;0.027;0.002
5.5;-0.005;-0.005;-0.002;0.002;-0.005;0.007;-0.002;0.032;0.027;0.027
6;-0.005;-0.002;-0.007;0.005;-0.002;0.049;0.022;0.044;-0.032;-0.017
6.5;0;-0.002;0.002;0.002;-0.007;0.02;0.01;0.037;-0.034;0
7;-0.005;-0.002;0;0.002;-0.002;0.027;0.005;0.029;0.012;0.034
7.5;-0.002;-0.002;-0.01;0.002;-0.005;-0.002;-0.022;0.002;0.029;0.037
8;-0.007;-0.005;-0.007;0;-0.002;0.022;0;0.02;-0.01;0.022
8.5;-0.005;-0.005;-0.012;0.002;-0.002;0.007;0.002;0.027;0.007;0.029
9;-0.007;-0.005;-0.007;0.005;-0.005;0.037;0.005;0.029;0.02;0.01
9.5;-0.002;-0.005;-0.015;0.002;-0.005;0.037;0.024;0.056;0.01;-0.034
10;-0.005;-0.002;-0.002;0;0;0.037;-0.002;0.024;0.029;0.034
10.5;-0.007;-0.002;-0.007;0;-0.005;0.034;0.007;0.029;0.024;0.037
11;-0.005;-0.002;-0.01;0.005;-0.007;-0.017;-0.032;-0.012;0.005;0.032
11.5;-0.005;-0.002;-0.005;0.002;-0.002;0.005;0;0.02;0.017;0.015
12;-0.005;-0.005;-0.002;0;-0.002;0.046;0.027;0.049;0.015;0.015
12.5;-0.002;-0.002;-0.007;0.005;-0.005;0.022;0.01;0.022;0.017;0.049
13;-0.002;0;-0.007;0;-0.005;0.042;0.012;0.032;0.002;-0.032
13.5;-0.01;-0.005;-0.005;0;-0.005;0.044;0.015;0.039;0.022;0.002
14;-0.007;-0.002;-0.005;0.002;-0.002;0.044;0.002;0.027;0.024;0.02
14.5;-0.002;-0.007;-0.012;0.002;-0.005;0.046;0.005;0.034;0.012;0.017
15;-0.007;-0.005;-0.005;0;-0.007;0.02;0;0.012;0.039;0.029
15.5;-0.01;-0.002;-0.002;0.005;-0.005;0.034;-0.002;0.02;0.037;0.015
16;-0.005;-0.005;-0.005;0.002;-0.007;0.042;0.012;0.034;-0.01;-0.017
16.5;-0.007;-0.005;-0.007;0;-0.005;0.051;0.02;0.051;-0.034;-0.007
17;-0.01;-0.005;-0.005;0.002;-0.005;0.024;0.002;0.042;0.015;0.02
17.5;-0.005;-0.005;-0.01;0.002;-0.002;0.059;0.027;0.044;0.039;-0.01
18;-0.005;-0.002;0;0.002;-0.007;0.059;0.029;0.039;0.005;0.007
18.5;-0.005;-0.005;-0.007;0;-0.005;0.049;0.012;0.034;0.022;0.051
19;-0.002;-0.002;-0.012;0.002;-0.002;0.027;0.007;0.044;0.024;0.02
19.5;-0.005;-0.002;-0.005;0.002;-0.005;0.039;0.022;0.044;0.029;0.017
20;-0.01;-0.005;-0.005;0.005;-0.007;0.046;0.029;0.049;0.042;0.012
20.5;-0.002;-0.005;-0.005;0;-0.002;0.046;0.022;0.042;0.034;0.044
21;-0.007;-0.005;0;0.002;-0.005;0.034;0.01;0.029;-0.005;0.012
21.5;-0.007;-0.005;-0.002;0.002;-0.002;0.037;0.012;0.032;0.002;-0.02
22;-0.005;-0.005;-0.01;0.005;-0.002;0.02;0.01;0.039;0.015;0.044
22.5;-0.005;-0.002;-0.007;0;-0.005;0.017;-0.01;0.022;0.022;0.029
23;-0.005;-0.002;0;0.002;-0.005;0.039;0.022;0.049;0.01;0
23.5;-0.005;-0.005;-0.007;0.002;-0.002;0.049;0.02;0.049;0.01;-0.01
24;-0.007;-0.002;-0.007;0.002;-0.005;0.051;0.007;0.029;0.027;0.044
24.5;-0.007;-0.005;-0.01;0.002;-0.005;0.015;-0.029;0.002;0.007;0.044
25;-0.005;-0.002;-0.002;0.002;-0.005;0.027;0.007;0.032;-0.02;-0.024
