time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;0;-0.005;0.002;-0.002;0.051;0.02;0.054;0.017;0.015
1;-0.007;-0.002;-0.002;0.002;0;0.044;0.012;0.042;0.032;0.083
2;-0.005;0;-0.005;0.002;0;0.049;0.027;0.049;0.005;-0.039
3;-0.005;-0.005;-0.005;0.002;-0.002;0.056;0.037;0.056;0.032;0.056
4;-0.005;-0.002;0;0.002;-0.002;0.051;0.017;0.042;0.044;0.046
5;-0.002;-0.002;-0.005;0.002;0;0.01;-0.002;0.017;0.007;0.007
6;-0.005;-0.002;-0.007;0.002;0;0.017;0.005;0.027;-0.007;0
7;-0.007;-0.002;-0.002;0.002;-0.002;0.012;0;0.029;0.015;-0.044
8;-0.005;-0.002;-0.005;0.005;-0.002;0.017;-0.017;0.007;-0.051;-0.027
9;-0.007;-0.002;-0.007;0.002;0;0.046;0.029;0.054;0.049;0.061
10;-0.002;0;-0.007;0.005;-0.002;0.034;0.015;0.039;0.039;0.037
11;-0.007;-0.005;-0.007;0;-0.002;0.056;0.039;0.039;0.002;0.024
12;-0.005;0;-0.007;0.002;0;0.032;0.005;0.032;0.015;0.056
13;-0.002;-0.005;-0.01;0;-0.002;0.042;0.039;0.059;0.054;0.017
14;-0.005;-0.002;0.002;0.002;-0.002;0.029;0;0.02;0.01;0.017
15;-0.007;-0.002;0;0;0;0.046;0.012;0.046;0;0.01
16;-0.007;-0.005;-0.007;0.002;0;0.042;0.01;0.039;0.066;0.071
17;-0.005;-0.005;-0.005;0.002;-0.002;0.051;0.032;0.054;0.01;-0.029
18;-0.005;-0.005;-0.005;0;-0.005;0.002;-0.017;0;0.088;0.081
19;-0.005;-0.005;-0.007;0.002;-0.002;0.049;0.044;0.061;0.032;0.051
20;-0.007;-0.005;0.002;0.005;0;0.007;-0.005;0.012;0.024;0.027
21;-0.002;0;-0.002;0.005;-0.005;0.034;0.005;0.034;-0.01;0.037
22;0;-0.002;-0.007;0.005;-0.002;0.027;-0.002;0.024;-0.02;0.02
23;-0.005;-0.005;-0.007;0.002;-0.002;0.061;0.039;0.054;0.056;0.027
24;-0.007;-0.002;-0.002;0.002;-0.002;0.029;0.007;0.029;-0.002;-0.02
25;-0.005;0;-0.005;0.002;-0.005;0.02;0.005;0.02;0.007;0.005
26;0;-0.002;-0.007;0.005;-0.002;0.044;0.037;0.044;0.027;0.056
27;-0.002;-0.002;-0.002;0.002;-0.002;-0.017;-0.024;-0.002;-0.051;-0.015
28;0;-0.002;-0.002;0.002;-0.005;0.051;0.032;0.056;0.034;0.049
29;-0.005;-0.005;0;0.005;-0.005;0.061;0.049;0.063;0.005;0.024
30;-0.002;0;-0.002;0.002;-0.002;0.022;0.002;0.029;-0.007;0.007
31;-0.007;-0.005;-0.005;0.005;-0.002;0.042;0.024;0.039;0.02;0.024
32;-0.007;-0.002;0;0.002;-0.005;0.044;0.022;0.051;0.046;0
33;-0.002;0;-0.005;0.005;-0.002;0.059;0.044;0.068;-0.012;0.012
34;-0.002;-0.002;-0.002;0.005;-0.002;0.051;0.027;0.059;0.059;0.078
35;-0.002;-0.002;-0.002;0.005;0;0.073;0.044;0.051;0.056;0.029
36;-0.002;-0.002;-0.002;0.002;0;0.029;0.02;0.032;0.017;0.015
37;-0.007;-0.002;-0.007;0.005;-0.002;0.032;0;0.022;0.005;0.049
38;-0.005;-0.002;-0.002;0.002;-0.005;0.02;0;0.02;0;0.027
39;-0.005;0;-0.002;0;-0.002;0.017;-0.012;0;0.022;0.039
40;-0.007;-0.005;0;0.005;-0.002;0.034;-0.012;0;0.02;0.029
41;-0.002;0;-0.005;0.005;-0.002;0.039;0.007;0.022;0.066;0.09
42;-0.007;-0.002;-0.007;0.005;0;0;-0.007;0.017;0.015;0.037
43;-0.005;0;0;0.005;-0.005;-0.024;-0.046;-0.012;0;-0.017
44;-0.002;-0.005;-0.002;0.002;-0.002;0.037;0.005;0.044;0.024;0.037
45;-0.005;0.002;0;0.002;-0.002;0.046;0.027;0.044;-0.007;0.027
46;-0.005;0;-0.002;0.005;-0.005;0.01;-0.007;0.01;0.054;0.029
47;-0.002;-0.002;-0.002;0.005;-0.002;0.054;0.02;0.046;0.002;0.081
48;0;-0.005;-0.002;0.002;-0.005;0.039;0.034;0.039;0.027;-0.029
49;-0.005;-0.005;-0.005;0.002;-0.005;0.042;0.017;0.042;-0.012;0.022
50;-0.005;0;0.002;0.005;-0.002;0.039;0.017;0.034;0.022;0.012
51;0;0;0;0.005;0.002;0.044;0.027;0.049;0.037;0.037
52;-0.005;-0.005;-0.005;0.002;-0.002;0.029;-0.015;0.024;0.017;0.039
53;-0.002;-0.002;-0.005;0.002;-0.005;0.032;0.01;0.032;-0.015;-0.029
54;-0.005;-0.002;-0.007;0;-0.005;0.01;-0.01;0.02;0.024;0.037
55;-0.002;0;0;0.005;-0.005;0.012;-0.022;0.017;-0.005;0.032
56;-0.005;0;-0.005;0.005;-0.002;0.029;0.039;0.051;0.029;0.071
57;-0.002;-0.002;-0.002;0.007;-0.005;0.032;0.01;0.029;0.017;0.017
58;-0.002;-0.002;-0.01;0.002;-0.005;0.039;0.022;0.046;0.032;-0.002
59;-0.005;-0.002;-0.005;0;0;0.007;-0.017;0.007;0.01;0.022
60;-0.005;-0.002;-0.005;0.005;-0.007;0.034;0.015;0.037;0.029;0.056
61;-0.002;-0.002;-0.01;0.002;-0.002;0.032;-0.007;0.027;0.01;0.005
62;-0.007;-0.005;-0.002;0.005;-0.002;0.066;0.044;0.071;0.005;0.049
63;-0.002;-0.002;0;0;-0.005;0.059;0.022;0.044;0.071;0.071
64;-0.005;-0.005;-0.007;0.002;-0.005;0.01;-0.002;0.027;-0.039;-0.007
65;-0.007;-0.005;-0.005;0;-0.002;0.032;0.027;0.044;0.01;0.044
66;-0.005;0;-0.005;0.002;-0.002;0.039;0.015;0.046;0.056;0.01
67;-0.007;-0.002;0;0.002;-0.002;0.054;0.029;0.049;-0.01;0.054
68;-0.007;-0.005;-0.005;0.005;-0.002;0.083;0.073;0.088;-0.002;-0.005
69;-0.005;-0.005;-0.002;0;-0.002;0.044;0.042;0.061;0.012;0.032
